ID,clubNm,Category,Affilation-1,Affilation-2,Summary-1,costDescription,FeePeriod,actDayDescription,Time,6-1. 만약 요일별로 활동 시작 시간이 다르거나 정확한 활동시간이 정해져있지 않은 경우 자세한 내용을 작성해주세요,locationDescription,Membership,targetPeopleDescription,applyDescription,targetCycleDescription,briefDescription,specDescription,recruitDescription,12. 인스타 아이디를 작성해 주세요,"13. 동아리 페이지에 첨부하고 싶은 사이트가 있다면 링크를 적어주세요. 사이트와 함께 괄호로 적어주세요

예시1. https://cafe.naver.com/newtbn(네이버 카페)
예시2. https://cau-likelion.org/(홈페이지)","14. CA4U에서 해당 동아리/학회의 인스타 활동 사진 및 글을 사용하는 것에 동의하시나요? 
(학생들에게 해당 동아리와 학회의 소개글과 활동내용을 제공하는 데 사용됩니다) "
1,청룡합창단,문화예술,동아리연합회,동아리연합회 소속 중앙동아리,"신입생복학생환영회, 정기 연습, 봄소풍, 봄CT, 창립제, 여름MC, 가을소풍, 가을CT, 정기연주회&강평회, 군송회, 졸업생환송회","35,000",1학기,"화, 목",7:00:00 PM,,청룡합창단 동아리방(107관 학생회관 별관 나동 203호),40,"재학생(휴학생 제외), 휴학생, 신입생, 대학원생",지원 시 무조건 합격,상시모집,중앙대학교 중앙동아리 청룡합창단,"청룡합창단은 ""Love in Harmony""라는 슬로건 아래, 아름다운 하모니를 만들기 위해 다양한 전공과 학번의 학생들이 모인 집단입니다. 1970년 하모니클럽으로 시작하여, 1973년부터 청룡합창단을 공식 명칭으로 사용하여 지금까지 사용해오고 있습니다.  매년 5월 말 ~ 6월 초 창립제와 11월 말 ~ 12월 초에 정기연주회를 가집니다. 이를 위해 학기 중 주 2회 정기 연습을 진행합니다.

청룡합창단은 합창뿐만 아니라 아카펠라, 기타, 피아노 등 다양한 음악 활동을 즐기고 있습니다. 동아리 행사 중 하나인 봄CT에서는 단원들이 조를 이루어 아카펠라를 연습하여 다함께 선보이는 활동을 하는 등, 음악을 사랑하는 동아리입니다.

많은 단원들이  목소리를 모아 하모니를 만들어가며 각자의 대학생활을 보람차게 보내고 있습니다.","🐉🎼청룡합창단 2024-2학기 신입단원 모집🎼🐉

""💙Love in Harmony💙""

 중앙대학교 중앙동아리 🐲청룡합창단에서 2학기를 맞이하여 신입단원을 모집합니다!

 청룡합창단은 1970년 하모니클럽에서 시작되어 지금까지 활동을 이어가고 있는 합창 동아리입니다.

 연주회는 1학기에 진행되는 창립제와 2학기의 정기연주회가 있습니다. 그리고 행사는 신입생복학생환영회, 봄CT, 봄소풍🌸, 여름MC,⛱️ 가을CT🍂, 가을소풍🥮, 졸업생환송회🥲, 강평회🫣, 군송회🫡 등 다양하게 있습니다! (CT는 Chorus training, MC는 Music camp의 약자로 MT라고 생각하시면 편합니다!)

 성부 파트별(베이스💪, 테너🥸, 알토🤓, 소프라노🥺)로 각각 단톡방과 파트장이 있어 단원들 모두 어려움 없이 어울려 활동하고 있습니다.

 상시모집이니 편하게 회장 연락처🥵나 인스타 DM😚으로 연락주세요!
동아리에 대한 자세한 정보는 아래를 참고해주세요!

📌 정기연습
   시간: 매주 화, 목 오후 7시~9시
   장소: 동아리방 (107관 학생회관 나동 203호), 교내 (연습 전 공지)
   ⚠️시험 2주 전부터는 학업에 지장이 없도록, 연습이 없습니다.

📌 동아리방: 107관 나동(별관) 203호
📌 회장 연락처: 010-4270-1595 (조휘준)
📌 인스타: @cheongryong_choir

2학기 개강총회: 9월 3일 화요일
가을CT: 9월 28일 ~ 9월 29일
정기연주회: 24년 1월 11일 💌

   Q. 혼자 가입하는데 잘 활동할 수 있을까 걱정돼요
   A. 청합에서 즐겁게 활동중인 부원들 중 
       혼자 가입한 사람이 많으니 걱정 마세요!
       성부 파트별로 단톡방과 파트장이 있어 
       잘 어울릴 수 있는 분위기에요. 

   Q. 다른 입단 조건이나 오디션이 있나요?
   A. 둘 모두 없습니다!😄
       청룡합창단은 복학생, 재학생, 신입생 등 나이와 성별 전공이
       가지🍆각색🌈인 단원들로 이루어져 있습니다!

   Q. 합창 외에도 추가적으로 할 수 있는 활동이 있나요?
   A. 동아리 방 내에 피아노🎹, 보드게임, 
       기타 6대🎸, 앰프🔊 등. 즐길거리가 많습니다!
       외에도 많은 단원들이 동아리방에서 공부하거나 
       대화를 나누는 등,
       편하게 동아리방에 언제든 방문하셔서
       행복한 삶을 영위하실 수 있습니다!
   
   Q. 고학번인데 신입단원으로 가입 가능할까요?
   A. 함께 노래하며 즐기고 싶은 마음만 있다면 충분해요!
       누구나 환영해요! 😘

   Q. 노래를 잘 할 자신이 없어요… 괜찮을까요?
   A. 물론이죠!! 사실 회장도 노래를 잘 못 불러요👉👈
       합창에서는 개인의 실력보다 모두의 화음
      (🎶HARMONY🎵)이 중요하지 걱정마세요!
       그리고 연습하다보면 노래 실력이 점점 늘거에요!
   
   Q. 알바나 수업 때문에 연습을 다는 참여할 수 없을 것 같아요  🥺
   A. 아쉽지만 사정이 있다면 일주일에 한번이라도 참여해주세요!
       개인적으로 추가 연습이 필요하다면 파트연습이나 
       개인 연습을 동아리 방에서 얼마든지 연습할 수 있어요!!
   
   Q. 공연 영상을 보고 싶어요!!
   A. 청룡합창단 유튜브 채널에서 지난 청룡합창단의 
       발자취를 보실 수 있습니다! ▶️
       지난 창립제 영상을 올려드릴테니 관심 있으시면 봐주세요!!
       https://www.youtube.com/watch?v=V_UmmJq1ckU
   
🇰🇷청룡합창단🐉은 실력 있는 대학 합창단으로서 부천청소년합창대회, 춘천 온세대합창제, 어깨동무합창제 등 여러 대회나 합창제에 참가해 많은 수상경력이 있습니다. 뒤이어 2학기에 있을 의혈문화제나, 롯데콘서트홀에서 진행될 유엔평화음악회에도 청룡합창단이 참여할 예정입니다! 🔥🔥

함께 화음을 만들고,
또 같이 노래하고 싶으시다면
언제든지 연락 주세요! 🎶
",@cheongryong_choir,,예
2,피카통,문화예술,동아리연합회,동아리연합회 소속 중앙동아리,"밴드 공연, 기타 교실",20000,"1년, 1학기",유동적,0,"기타교실은 오후 2-4사이, 밴드 공연 연습은 6-10사이",동아리방,220,재학생(휴학생 제외),"지원 시 무조건 합격, 지원 시 선착순 합격",한 학기 단위 모집,중앙대학교 중앙동아리 피카통,"통기타를 중심으로 드럼, 베이스, 키보드, 보컬 등 여러 세션이 하나가 되는 통기타&어쿠스틱 밴드 동아리 입니다.",글이 복사가 안되네요..ㅠ,cau_picatong,,예
3,쓰리쿠션,운동,동아리연합회,동아리연합회 소속 중앙동아리,"당구 동아리 - 4구, 3구, 포켓볼",20000,1학기,"금, 유동적",5:00:00 PM,.,동아리방 또는 정문 탑당구장(단독 제휴),105,"재학생(휴학생 제외), 휴학생, 신입생",지원 시 무조건 합격,한 학기 단위 모집,중앙대학교 서울캠퍼스 당구동아리 쓰리쿠션,"🎱쓰리쿠션 소개🎱
- 중앙대 유일 당구 중앙동아리이며 모든 당구 종목(4구, 3구, 포켓)으로 활동 가능합니다.
  (현재는 4구, 3구를 배워보려는 회원이 많지만 포켓볼로도 활동 및 알려드릴 수 있습니다!)

- 학교 주변 당구장 중 유일하게 포켓볼, 중대, 대대 테이블 모두 보유하는 당구장(탑당구장)과 단독 대관/가격 협약을 맺고 있습니다. 자주 오시는 분들은 사장님께서 구장 내 개인 큐대도 지급합니다❣️

- 동아리방에 당구 테이블(중대), 큐대, 장갑 등등 다양한 당구 용품들을 갖추고 있습니다. 쓰리쿠션 회원이라면 모두 자유롭게 이용 가능합니다💕

- 정기 모임 외에도 회원들이 자유롭게 당구를 치거나 친목 활동을 할 수 있도록 카카오톡 수다방을 운영하고 있습니다. 수다방을 통해 공강 시간에 시간이 맞는 회원들끼리 밥을 먹거나 번개 모임을 진행할 수 있습니다.","안녕하세요!
중앙대학교 서울캠퍼스 당구동아리 쓰리쿠션에서 24-2학기 신입부원을 모집합니다😲

🎱모집 기간🎱
8/2(금) - 9/8(일)자정

🎱정기 모임 요일(주 1회)🎱
학기초에 부원들에게 투표를 받아 요일 하루를 정할 예정입니다!
필참은 아닙니다! 자유롭게 참여할 수 있습니다.
시험 기간 2주 전부터는 정기 모임을 진행하지 않습니다.

🎱쓰리쿠션 소개🎱
- 중앙대 유일 당구 중앙동아리이며 모든 당구 종목(4구, 3구, 포켓)으로 활동 가능합니다.
  (현재는 4구, 3구를 배워보려는 회원이 많지만 포켓볼로도 활동 및 알려드릴 수 있습니다!)

- 학교 주변 당구장 중 유일하게 포켓볼, 중대, 대대 테이블 모두 보유하는 당구장(탑당구장)과 단독 대관/가격 협약을 맺고 있습니다. 자주 오시는 분들은 사장님께서 구장 내 개인 큐대도 지급합니다❣️

- 동아리방에 당구 테이블(중대), 큐대, 장갑 등등 다양한 당구 용품들을 갖추고 있습니다. 쓰리쿠션 회원이라면 모두 자유롭게 이용 가능합니다💕

- 정기 모임 외에도 회원들이 자유롭게 당구를 치거나 친목 활동을 할 수 있도록 카카오톡 수다방을 운영하고 있습니다. 수다방을 통해 공강 시간에 시간이 맞는 회원들끼리 밥을 먹거나 번개 모임을 진행할 수 있습니다.

🎱가입 대상🎱
당구를 좋아하시는 분들, 당구를 쳐 본 적 없지만 배워보고 싶은 분들, 당구 치며 친목 활동도 즐기고 싶으신 모든 분들!! 모두 환영입니다❣️

🎱회비(20,000원 - 국민은행 943202-00-901718 김동현)🎱

회비는 동아리 홍보, 동아리 내 사업 비용, 동아리방 비품 관리, 소모품 구입, MT, 개총 등 동아리 내부 행사의 지원비, 정기모임 시 당구비 지원(10% 할인) 등에 사용됩니다.

@회비는 지원서 작성 후 원활한 집계를 위해 빠른 시일 내에 납부해주시기 바랍니다!! (지원자, 송금자 명 일치)



🎱이번 학기 프로그램 계획🎱
❣️매주 1회 꾸준한 정기 모임
❣️동아리 활동 우수자 상금, 상품 지급
   (멘토멘티 활동, 번개모임, 정기모임 등 모든 동아리 활동 포함)
❣️쓰리쿠션 개강총회 진행 (9/6 금 예정, 일정 조율에 참고하세요 :) )
❣️동아리원 전체 대상 가을 MT 진행
    (9/28-29(토,일 예정), 일정 조율에 참고하세요:) )
❣️중간고사 이후 중앙대학교 당구대회 개최 계획 중
* 운영진 사정에 따라 일정이 일부 변경될 수 있습니다.

🎱인스타그램🎱
@cau_3cushion

인스타그램 프로필 상단 링크 들어가시면 구글폼으로 연결됩니다!

🎱전화번호🎱
회장 김동현: 010-4652-7041
부회장 황동엽: 010-7229-3368

🎱동아리방🎱
107관 507호

🎱가입방법🎱
1. 구글폼 링크 작성(8/2 - 9/8)
- https://docs.google.com/forms/d/e/1FAIpQLSeoSTcN1KZsEeJwh6czLMfTVlo7pudyB2ZNl3B3an3cChvfjg/viewform?usp=pp_url

2. 9/9(월) 동아리 박람회(의혈문화제) 부스 현장 지원

정성껏 작성해주신 모든 분들은 8/23, 9/9에 동아리 단톡에 순차적으로 초대해 드릴 예정입니다!!

🎱이 외에도 궁금한 점이 있다면 회장 연락처나 인스타그램 DM으로 연락주시면 친절하게 답변드리겠습니다🎱",cau_3cushion,,예
4,쇠똥구리,운동,동아리연합회,동아리연합회 소속 중앙동아리,"볼링 동아리 - 볼링 정기 모임, 교류전, 피크닉, 여름MT",25000,1학기,"목, 금",6:30:00 PM,,방배 오란다 볼링파크,152,"재학생(휴학생 제외), 휴학생, 신입생",지원서를 토대로 선발,한 학기 단위 모집,중앙대학교 중앙동아리 소속 볼링동아리 쇠똥구리,"쇠똥구리는 “쇠똥구리처럼 공을 열심히 잘 굴려보자”라는 뜻으로 창립된  볼링 동아리입니다. 쇠똥구리가 공을 굴리듯 우리도 볼링과 함께 우리의 행복을 크게 굴리는 것을 목표하고 있습니다.

모임은 중앙대학교 근처에 위치한 방배 오란다 볼링파크에서 격주로 정해진 시간마다 정기적으로 진행합니다. 모임은 필수 참여가 아닌 주마다 투표하는 방식으로, 참석할 수 있는 인원들만 자유롭게 참석하여 진행되고 있습니다.

","‼️D-1‼️2024-1 볼링동아리 쇠똥구리 신입회원 모집
안녕하세요. 중앙대학교 유일무이 볼링 중앙동아리 ‘쇠똥구리’에서 2024학년도 1학기 신입회원을 모집합니다 !

📢 모집 일정
3/9(토) ~ 3/12(화) 18시 : 모집 기간
3/13(수) : 합격자 발표
3/15(금) : 개강 파티
3/22(금) : 첫 정기모임

📢 모집 대상
- 중앙대학교 서울캠퍼스 재학생 및 휴학생 (졸업생, 대학원생은 신청이 불가합니다.)
- 신나게 볼링을 즐기고 싶으신 분들 !
- 즐겁게 볼링을 배우고 싶으신 분들 !
- 나이, 학번, 성별, 실력 무관합니다 !

📢 지원 방법
하단의 구글폼 링크로 들어가 지원서 작성하기! (면접 없이 지원서로만 선발이 이루어지니 정성껏 작성 부탁드립니다☺️)
- 구글폼 링크: https://forms.gle/fHhFifhkTGajAc2J6

📢 예정 활동
- 정기모임 🎳: 목요일, 금요일 번갈아 가며 매주 진행될 예정입니다! (3/22, 3/28, 4/5, 4/11, 4/26, 5/10, 5/16, 5/24, 5/30, 6/7, 6/21 예정)
- 번개모임 🎳: 볼링이 치고 싶은 아무때나 자유롭게 만나요!
- 개강, 종강파티 🎉
- 한강피크닉 🧺 (5/3 예정)
- M.T. 🌊
- 볼링대회 👑

✔️ 회비: 한 학기당 25,000원 (재등록 시 15,000원)

✔️ 안내사항
- 쇠똥구리는 전문 볼링 선수 육성 목적 동아리가 아닙니다 ! 다 같이 취미로 볼링을 즐겨봐요 ☺️
- 불미스러운 일이 발생하면 임원진의 회의 하에 퇴출될 수 있습니다.

✔️ QnA
Q. 왕초보도 가입 가능한가요?
A. 당연합니다! 쇠똥구리는 행복을 굴리자는 취지로 설립된 '취미 볼링 동아리'로, 볼링공을 처음 잡아보는 왕초보부터 공 꽤나 굴려본 중고수까지 모두 부담 없이 가입이 가능합니다.

Q. 장비가 필요한가요?
A. 쇠똥구리는 취미 볼링 동아리로, 전문 장비를 필수 준비물로 제한하고 있지 않습니다. 혹시 보유한 개인 장비가 있다면, 편하게 들고 오셔도 됩니다.

✔️ 더 궁금한 점이 있다면 오픈채팅(https://open.kakao.com/o/sOL0iC9e) 또는 쇠똥구리 인스타(@cau_bowling)로 질문해주세요! 친절하게 알려드리겠습니다 😊

🎳 중앙대학교 볼링 중앙동아리 쇠똥구리 🎳",@cau_bowling,,예
5,Dance P.O.zz,취미,동아리연합회,"동아리연합회 소속 준동아리(댄스포즈, 뮤온 등)","새터 공연, 중앙마루 버스킹, 정기공연, 배틀, 외부 공연, 더유니온(수도권대학스트릿댄스동아리퍼포먼스)","40,000",1학기,유동적,6:30:00 PM,"정기모임- 동아리 행사 시즌에 따라 매우 유동적/정기공연 시즌에는 매주 금요일 18:30부터 정기모임있음/부원들 개개인이 참여하는 팀,공연마다 연습시간이 매우 유동적","611호 준동아리 연습실, 3층 연습실, 4층 연습실, 공연연습실1, 공연연습실2, 풍물패연습실",100,"재학생(휴학생 제외), 휴학생, 신입생",지원 시 무조건 합격,기간별로 3번의 리크루팅 진행,중앙대학교 스트릿댄스동아리,중앙대학교 유일무이 스트릿댄스동아리 댄스포즈입니다.,"❤️‍🔥𝐃𝐚𝐧𝐜𝐞 𝐏.𝐎.𝐳𝐳 𝟐𝟖𝐭𝐡 𝐫𝐞𝐜𝐫𝐮𝐢𝐭𝐢𝐧𝐠❤️‍🔥

안녕하세요, 중앙대학교 스트릿댄스동아리 𝐃𝐚𝐧𝐜𝐞 𝐏.𝐎.𝐳𝐳입니다! 신입 기수인 28기 부원들을 모집하고자 합니다 🙌🫶

✔️ 타과생들과 교류하며 친목을 다지고 싶다면?
✔️ 다양한 장르의 춤을 배워보고 싶다면?
✔️ 여러 무대에서 공연하며 추억을 남기고 싶다면?


🔥 모집 기간: 총 4번의 리크루팅이 진행될 예정입니다.
~ 3월 22일까지 1차 리크루팅
~ 4월 25일까지 2차 리크루팅
~ 7월 5일까지 3차 리크루팅 
~ 9월 초까지 4차 리크루팅 

🔥 Q&A
Q1. 어떤 장르들을 배울 수 있나요?
힙합, 걸스힙합, 브레이킹, 하우스, 왁킹, 락킹, 재즈, 걸리쉬, 팝핑, 크럼프 등 다양한 장르들을 배울 수 있습니다!

Q2. 어떤 활동들이 있나요?
- 장르 소개 및 버스킹: 스트릿댄스의 여러 장르를 알아볼 수 있는 시간🕺
- 베이직: 모든 춤의 기초가 되는 기본기를 다지는 시간💃
- 장르별 세션: 세션장을 중심으로 장르 안무를 쉐어하고 익히는 시간👯‍♂️
- 더유니온: 대학연합행사로 다른 학교 학생들과 춤으로 하나 되는 시간🪩
- 정기공연: 학기에 한 번씩 진행되는 동아리 자체 행사로 댄스포즈만의 춤을 보여줄 수 있는 행사🎶

Q3. 춤을 못 추는데 or 안 춰봤는데 가입해도 되나요?
댄스포즈는 입부 오디션이 없는 동아리이며 베이직과 장르별 세션을 통해 기초부터 쌓아 나갈 수 있습니다! 춤을 좋아하고 즐긴다면 누구나 고민하지말고 가입해주세요 🎶☺️

Q4. 복학생인데, 휴학생인데 가입할 수 있나요?
중앙대학교 산하 기구 학생이라면 누구나 가입 가능합니다! 나이, 학번 제한이 없으며 가입 조건도 없으니 도전해보세요❤️‍🔥

Q5. 활동과 연습 일정은 어떻게 정하나요?
연습 일정은 매 행사마다 팀장, 팀원들의 일정을 고려하여 정하고 있습니다. 또한, 시험 2주 전부터는 어떠한 경우라도 동아리 활동을 진행하지 않고, 큰 행사의 경우 한 달 전에 미리 공지합니다!

🔥 가입 신청: 댄스포즈 인스타그램 프로필 링크에 있는 링크트리 접속 후 구글폼 신청서 작성

❗️댄스포즈는 입부 오디션이 따로 존재하지 않습니다! 나이, 학년, 국적 제한 없이 춤에 대한 관심과 열정이 있는 중앙대학교 모든 학생이라면 누구든지 댄스포즈의 문을 두드려주세요❗️


🔥 댄스포즈가 더 궁금하다면?🔎
𝐢𝐧𝐬𝐭𝐚𝐠𝐫𝐚𝐦: @dancepozz_official
𝐘𝐨𝐮𝐭𝐮𝐛𝐞: https://m.youtube.com/c/DancePozz

📩24시간 대기중 ! 빠른 답장을 받고 싶다면 ?
𝐊𝐚𝐤𝐚𝐨𝐭𝐚𝐥𝐤 : https://open.kakao.com/o/snDlvhbg

💬27기 회장 이은주 010-3277-1498
💬27기 부회장 최서인 010-3123-0171


⬇️⬇️⬇️⬇️ 댄스포즈 가입 신청폼 ⬇️⬇️⬇️⬇️

https://docs.google.com/forms/d/e/1FAIpQLScrOVHmFLomvO2IcwMr8mENe80pSgCyqjRuQVSvR6IUY02FQQ/viewform

#중앙대학교 #댄스동아리 #스트릿댄스 #dancepozz #댄스포즈",@dancepozz_official,https://m.youtube.com/c/DancePozz,예
6,CUDS,학술,동아리연합회,동아리연합회 소속 중앙동아리,"영어토론, 정기소모임, 세션, 대회, 친목",25000,1학기,목,6:30:00 AM,,"310관 9층, 동아리방",31,"재학생(휴학생 제외), 휴학생, 신입생",면접을 토대로 선발,한 학기 단위 모집,중앙대학교 중앙동아리 영어토론동아리,중앙대 유일무이 영어 관련 동아리! 자신의 의견을 자유롭게 공유가능한 동아리!,.,cuds_official,,예
7,리베로,운동,동아리연합회,동아리연합회 소속 중앙동아리,축구 정기연슴,20000,1학기,유동적,6:00:00 PM,,중앙대학교 대운동장,66,"재학생(휴학생 제외), 휴학생, 신입생, 졸업생",입단테스트 진행,한 학기 단위 모집,중앙대학교 축구 중앙동아리 리베로,중앙대학교 중앙동아리 소속 축구 동아리 리베로입니다. 매주 실시하는 정기연습과 다양한 축구 활동으로 함께 축구를 즐기시고 싶으시다면 누구나 환영입니다!,없습니다.,cau__libero,,예
8,프리스타일,취미,동아리연합회,동아리연합회 소속 중앙동아리,"보드 동아리 - 스케이트보드&롱보드 정기모임, 봄MT, 웨이크보드, 제주/부산 서핑트립",25000,1학기,"월, 목",5:00:00 PM,,여의도한강공원 스케이트장,190,"재학생(휴학생 제외), 휴학생, 신입생",지원서를 토대로 선발,한 학기 단위 모집,사계절 내내 낭만을 타는 동아리,"안녕하세요☺️
중앙대학교 보드동아리, 🛹“프리스타일”🏂입니다!

📌 활동 안내
📍 S/S 시즌(봄,여름)🌼
- 롱보드와 스케이트보드🛹
- 웨이크보드와 서핑🏄🏻‍♀️
📍 F/W 시즌(가을, 겨울)🍁❄️
- S/S시즌과 마찬가지로 롱보드와 스케이트보드
- 스노우보드를 타며 시즌방 활동🏂
- 겨울시즌 준비를 위해 동아리원들과 함께 샵투어를 통해 장비, 보드복 등을 구매합니다🧤

📌 모집 대상
- 보드 탈 줄 1도 모르지만 관심은 있다!
- 취미 활동을 하고 싶으신 분!
- 학번, 나이, 성별 상관 없이 누구나 환영!
- 스키장 시즌권을 싸게 구매하고 싶으신 분!
- 스노우보드를 타면서 머물 숙소를 원하시는 분!

👍 동아리 혜택
- 동아리 공용 롱보드 및 스케이트보드 사용 가능!
- 최저가 시즌권 구매 및 장비 대여!
- 웨이크보드 업체 연결로 할인 가능!
- 겨울 시즌방 이용 가능!","안녕하세요☺️
중앙대학교 보드동아리, 🛹“프리스타일”🏂입니다!
프리스타일은 사계절 내내 보드를 타며
즐길 수 있는 동아리입니다.

📌 활동 안내
📍 S/S 시즌(봄,여름)🌼🌸
- 롱보드와 스케이트보드🛹
- 웨이크보드와 서핑🏄🏻‍♀️
📍 F/W 시즌(가을, 겨울)🍁❄️
- S/S시즌과 마찬가지로 롱보드와 스케이트보드
- 스노우보드를 타며 시즌방 활동🏂
- 겨울시즌 준비를 위해 동아리원들과 함께 샵투어를 통해 장비, 보드복 등을 구매합니다🧤

📌 모집 대상
- 보드 종류 상관없이 좋아하는 누구나!
- 보드 탈 줄 1도 모르지만 관심은 있다!
- 취미 활동을 하고 싶으신 분!
- 학번, 나이, 성별 상관 없이 누구나 환영!
- 스키장 시즌권을 싸게 구매하고 싶으신 분!
- 스노우보드를 타면서 머물 숙소를 원하시는 분!

👍 동아리 혜택
- 동아리 공용 롱보드 및 스케이트보드 사용 가능!
- 최저가 시즌권 구매 및 장비 대여!
- 웨이크보드 업체 연결로 할인 가능!
- 겨울 시즌방 이용 가능!

📥지원 방식
- 구글폼 작성(에브리타임, 인스타 확인)
- 문의 사항: 오픈채팅방 또는 문자
가입 관련 궁금한 사항은 언제든지 연락 주세요😊
- https://open.kakao.com/o/svrPc8bg
- 회장 이정우(010-4998-1팔5공)
- 홍보부장 민지우(010-2653-1삼3육)

🏷️인스타그램
https://www.instagram.com/cau_freestyle/

💰한 학기당 2만5천원의 회비가 있습니다.
(회비는 공용물품 및 공용장비, 시즌방비, 정모 등
부원들에게 필요한 곳에 쓰입니다!)",Cau_freestyle,,예
9,CUSCM,종교,동아리연합회,동아리연합회 소속 중앙동아리,"기독교 동아리 - 목요예배, 성경 공부 BC, 아침기도회",0,0,"화, 목",6:00:00 PM,,"107관 101호, 107관 103호, CUSCM 선교쎈터",50,"재학생(휴학생 제외), 휴학생, 신입생, 대학원생",지원 시 무조건 합격,상시모집,중앙대학교 중앙동아리 개신교예배 동아리,"76년 역사의 중앙대 최초 동아리🌟

---

샬롬🌟 중앙대 모든 학우분들을 예수님의 이름으로 사랑하고 축복합니다~!!

저희는 CUSCM이며 (학생회관 들어가면 바로 보이는 그 동방! 맞습니다~)

저희를 여러분들께 소개하고 싶습니다!


🙋‍♂️cuscm이란 무슨 동아리인가요?

중앙대기독학생연합회(CUSCM)는 1948년 9월에 학생들과 교직원들에 의해 창립된 중앙대 최초의 선교단체이며,

Chung-ang University Student Christian Mission의 의미를 지니고 있습니다!

저희는 지난 76년간 ‘그리스도에게로 돌아가자, 말씀으로 돌아가자, 성령으로 돌아가자’는 슬로건을 내걸고 캠퍼스 복음화를 위해 힘써왔습니다☺️

🙋‍♂️어떤 활동을 하나요?

저희는 크게 3가지 활동을 하고 있습니다!

1. 월~금 아침 8시에 107관 1층 대학교회에서 드려지는 아침기도회,

2. 화요일 오후 6시 동문 선배, 목사님과 함께 공부하는 성경대학(bible college)

3. 목요일 오후 6시 대학교회에서 드려지는 목요예배까지!

그 외에도 노방전도, 찬양전도, 포스터 선교, 큼식당, 풍성한 식사교제 등 여러 활동이 있어요!

방학 중에는 다빈치 캠퍼스와 연합으로 드려지는 금요예배와

2, 5, 8월 3번의 수련회 또한 있으니 오셔서 함께해요! (진짜 꿀잼 보장)

🙋‍♂️ 누가 올 수 있나요??

저희는 “어떠한” 조건도 없습니다! 예수님을 믿는 분이여도 좋고, 아니어도 좋습니다!

신입생, 재학생, 복학생, 대학원생, 타대생 등등 모두 환영합니다☺️

캠퍼스 내에서 편안하게 쉬어갈 수 있는 곳이 되었으면 좋겠습니다 :)

하나님께서 우리를 이곳으로 부르셨듯,

주님이 부르실 여러분을 기다리고 기대하는 마음을 늘 품고 기도하고 있겠습니다! 😊😊

가입 문의 있으신 분은 편하게 연락주세요! (인스타 디엠, 오픈채팅, 에타 쪽지 등 상관없으니 많관부!)","오늘도 여러 고민들로 시름하고 있는 당신에게 💌

즐거움을 쫓아 살지만 여전히 삶이 우울하고 공허한 당신
최선을 다하지만, 두려움과 불안함 속에 하루하루를 살아가는 당신

인생의 목적을 묻는 질문에
정답을 찾지 못해 방황하고 있지는 않나요?

당.신.은 !
영원히 사랑받는 하나님의 자녀입니다!
나를 지으신 분을 알 때 내가 누구인지 확실히 깨닫게 됩니다!

인생의 근본적인 문제가 해결되는
5월 인생문제대수련회,
지금 바로 신청하세요!
함께해요 우리 ☺️❤️

From. CUSCM 중앙대기독학생연합회 💌

📍일시: 24.05.10(금)~11(토)
📍장소: 남양주 천마산 기도원
📍강사: 최재선 박사님(경제57)
🤍 인스타그램에서 더 자세한 정보를 확인할 수 있어요 :)

🫶🏼 참가신청 구글폼
https://forms.gle/BDfAoHndCvnniF437

💌 문의
인스타그램 @cuscm_seoul",@cuscm_seoul,https://cuscm.or.kr,예
10,루바토(RUBATO),취미,동아리연합회,동아리연합회 소속 중앙동아리,"실내악 행사, 정기연주회",20000,가입시에만,정기모임 없음,,,동아리방,100,"재학생(휴학생 제외), 휴학생, 신입생, 졸업생, 타대생","지원 시 무조건 합격, 연주회의 경우 오디션을 진행하는 파트가 있음",한 학기 단위 모집,중앙대학교 오케스트라 동아리,"중앙대학교 아마추어 오케스트라 RUBATO는 1985년에 음악을 사랑하는 비전공자들의 모임으로 시작하여, 다양한 전공을 공부하고 악기와 음악을 사랑하는 학생들이 매해 열심히 활동을 하고 있는 중앙동아리입니다. 루바토는 매년 여름, 겨울 정기연주회와 동아리 창립제를 비롯하여 여러 활동을 하고 있습니다",https://everytime.kr/418754/v/335294199,rubato_cau1985,,예
